billing_date,client_id,service_code,resource_id,billable_hours,capacity_hours,bill_rate_gbp,amount_billed_gbp,cost_inr,status
2023-10-25,C012,DEV,R6571,22.5,28.6,£45.00,"GBP 1,014.35","₹46,050",credit
2023.11.16,C006,soc ,R3676,54.4,68.6,42.00,"£2,285.87","77,968",BILLED
"Jul 3, 2023",C002,Soc,R1605,202.2,261.8,£42.00,"(2,547.22)","₹295,647",billed
11/04/2023,C009,hd ,R5024,338.7,386.2,22.00,"7,451.08","274,636",credit
2023-05-16,C011,DEV,R6039,25.1,32.4,£45.00,"£1,128.24","₹50,599",Billed
"Sep 13, 2023",C004,SOC,R2633,360.7,453.2,£42.00,"15,148.96","498,097",Billed
"May 19, 2023",C003,AUT,R2089,106.5,137.9,52.00,"5,535.80","₹207,514",credit
2023-04-18,C005,DEV,R3078,114.7,151.0,45.00,"£5,160.96","INR 234,649",billed
14/07/2023,C010,Cld ,R5584,15.3,19.9,48.00,GBP 733.13,"₹30,039",Billed
2023-11-28,C012,noc,R6579,72.1,87.5,£28.00,"£2,018.71","76,336",Draft
2023-02-04,C001,cld,R1024,149.9,193.3,£48.00,"7,194.06","₹273,925",credit
2023.06.09,C008,AUT,R4545,22.8,29.1,£52.00,"GBP 1,184.91","₹44,527",billed
"Jul 26, 2023",C004,Ofp,R2613,164.9,194.1,£16.00,"£2,638.51","106,693",billed
2023-05-04,C004,Noc ,R2570,265.8,312.0,28.00,"£7,442.50","₹288,805",billed
2023.04.07,C005,Noc ,R3072,144.4,172.6,28.00,"£4,044.34","151,895",Billed
2023-08-25,C011, HD,R6070,138.5,164.5,£22.00,"£3,046.48","INR 113,670",billed
2023-01-20,C009,Hd,R4985,244.2,282.1,£22.00,"£5,371.37","₹200,266",billed
2023-08-06,C003,Dev,R2135,119.5,150.8,£45.00,"GBP 5,376.26","₹238,639",billed
2023-06-01,C005,soc ,R3106,51.0,63.6,£42.00,"2,140.54","₹76,674",Billed
2023-06-11,C002,Dev,R1592,198.5,254.7,£45.00,"£8,930.28","₹412,593",Draft
17/08/2023,C001,SOC,R1097,242.3,304.1,42.00,"10,178.31","₹350,761",BILLED
2023-04-02,C007,Soc,R4091,58.4,73.0,42.00,"£2,453.06","85,932",draft
10/02/2023,C010,aut,R5519,8.6,10.6,£52.00,£446.98,"₹15,957",Draft
10/04/2023,C009,Aut ,R5037,16.3,22.1,52.00,£849.32,"32,045",Draft
2023-09-24,C007,NOC,R4162,124.0,151.1,28.00,"£3,472.91","133,962",Credit
2023-06-15,C008,Soc,R4538,43.8,54.9,£42.00,"1,840.05","INR 67,541",credit
2023-04-24,C007,ofp ,R4102,144.4,167.8,£16.00,#N/A,"95,471",Billed
2023.04.16,C004,Dev,R2561,445.1,560.1,45.00,"GBP 20,031.72","935,184",Draft
"Dec 2, 2023",C008,SOC,R4624,41.2,51.2,42.00,"£1,729.11","₹63,139",Billed
2023-05-27,C010,NOC,R5550,57.1,68.7,28.00,"£1,597.72","₹61,386",credit
"Feb 11, 2023",C002,ofp ,R1545,149.8,171.9,16.00,"£2,397.24","₹97,366",Credit
2023-05-05,C012,Ofp,R6512,374.8,447.1,16.00,"£5,996.97","241,398",BILLED
2023-09-26,C010,hd ,R5606,268.1,320.7,22.00,"GBP 5,898.51","₹217,245",Billed
2023.06.14,C006,cld,R3611,128.2,168.1,48.00,"GBP 6,153.51","243,688",Billed
2023-09-05,C006,CLD,R3656,119.6,156.0,GBP 48.00,"£5,742.04","₹232,413",credit
2023-03-08,C012,ofp ,R6491,156.0,182.4,£16.00,"£2,496.22","104,393",credit
"May 11, 2023",C010,dev ,R5557,24.5,31.6,£45.00,"GBP 1,102.57","53,030",BILLED
2023-11-06,C999,NOC,R3171,504.3,599.0,28.00,"£14,121.77","532,261",Billed
2023-01-04,C010,AUT,R5505,6.4,8.2,£52.00,332.59,"₹12,294",BILLED
2023.12.26,C011,HD,R6118,181.3,210.3,22.00,"3,989.59","153,325",credit
09/12/2023,C012,dev ,R6597,13.3,17.5,£45.00,(180.19),"27,781",Credit
19/06/2023,C005,Dev,R3110,71.8,94.3,45.00,"£3,231.13","152,347",Billed
2023-08-18,C012,ofp ,R6547,192.6,227.4,16.00,"3,081.34","₹128,151",Credit
2023.09.20,C001,cld,R1120,187.5,237.3,£48.00,"9,000.09","₹365,158",credit
2023-08-10,C010,cld,R5596,46.5,58.5,£48.00,"£2,230.01","86,668",credit
2023-05-27,C003,hd ,R2078,1095.8,1224.4,GBP 22.00,"24,108.59","872,361",credit
23/02/2023,C007,SOC,R4062,51.1,67.0,£42.00,"2,144.43","₹75,064",billed
2023.07.20,C003,OFP,R2125,154.0,173.6,£16.00,"2,464.48","INR 101,584",Billed
"Jul 10, 2023",C005,noc,R3120,118.3,145.3,28.00,"£3,311.19","₹129,596",Credit
2023-04-01,C009,cld,R5031,40.5,51.0,£48.00,(583.20),"₹76,486",Billed
03/06/2023,C007,CLD,R4123,90.9,111.5,£48.00,"GBP 4,363.31","₹172,787",billed
