month,gbp_inr
2023-01,99.399
2023-02,99.076
Mar-2023,99.639
2023-04,100.693
May-2023,100.443
Jun-2023,100.594
Jul-2023,99.779
Aug-2023,100.357
Sep-2023,101.876
2023-10,null
Nov-2023,101.904
Dec-2023,102.129
Jan-2024,102.892
2024-02,102.451
Mar-2024,102.407
2024-04,102.937
2024-05,102.578
Jun-2024,103.456
Jul-2024,103.351
Aug-2024,103.925
Sep-2024,NA
Oct-2024,103.927
2024-11,104.072
2024-12,104.316
Jan-2025,104.624
2025-02,104.993
Mar-2025,106.604
2025-04,105.298
May-2025,106.113
Jun-2025,106.894
2025-07,107.0
Aug-2025,106.243
Sep-2025,106.811
Oct-2025,107.55
2025-11,107.165
Dec-2025,106.398
