Category,Line_Item,Jan-2023,Feb-2023,Mar-2023,Apr-2023,May-2023,Jun-2023,Jul-2023,Aug-2023,Sep-2023,Oct-2023,Nov-2023,Dec-2023,Jan-2024,Feb-2024,Mar-2024,Apr-2024,May-2024,Jun-2024,Jul-2024,Aug-2024,Sep-2024,Oct-2024,Nov-2024,Dec-2024,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025
Revenue,Recurring Managed Services,"740,295","724,876","759,214","746,849","758,001","754,362","747,425","745,807","799,402","821,151","838,773","794,140","846,096","829,113","867,536","862,235","876,385","880,345","864,037","860,040","944,483","991,112","1,008,272","955,535","1,012,583","991,247","1,053,703",error,"1,039,273","1,029,745","1,024,587","962,983","1,043,369","1,071,806","1,094,791","1,035,894"
,Projects & Consultancy,"151,855","148,693","155,736","153,200","155,487","154,741","153,318","152,986","163,980","168,441","172,056","162,900","173,558","170,074","177,956","176,869","179,771","180,584","177,238","176,418","193,740",#REF!,"206,825","196,007","207,709","203,333","216,144","209,973","213,184","211,230","210,172","197,535","214,024","219,858","224,573",error
,Other Income,"56,946","55,760","58,401","57,450","58,308","58,028","57,494","57,370","61,492","63,165","64,521","61,088","65,084","63,778","66,734","66,326","67,414","67,719","66,464","66,157","72,653","76,239","77,559","73,503","77,891","76,250","81,054","78,740","79,944","79,211","78,814","74,076","80,259","82,447","84,215","79,684"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Delivery,Engineer Salaries (India),"(269,257)","(263,506)","(276,270)","(271,651)","(275,667)","(274,435)","(271,960)","(271,239)","(290,631)","(298,808)","(305,145)","(289,011)","(307,840)","(301,625)","(315,550)","(313,720)","(318,602)","(320,299)","(314,200)","(313,005)","(343,688)","(360,664)","(367,037)","(347,718)","(366,181)","(358,520)","(381,017)","(370,282)","(375,900)","(372,309)","(370,389)","(347,937)","(377,036)","(387,413)","(395,582)","(374,437)"
,"Tools, Licences & RMM","(53,851)",null,"(55,254)","(54,330)","(55,133)","(54,887)","(54,392)","(54,248)","(58,126)","(59,762)","(61,029)","(57,802)","(61,568)","(60,325)","(63,110)","(62,744)","(63,720)","(64,060)","(62,840)","(62,601)","(68,738)","(72,133)","(73,407)",null,"(73,236)","(71,704)","(76,203)","(74,056)","(75,180)","(74,462)","(74,078)","(69,587)","(75,407)","(77,483)","(79,116)","(74,887)"
,Connectivity & Infrastructure,n/a,"(35,134)","(36,836)","(36,220)","(36,756)","(36,591)",error,"(36,165)","(38,751)","(39,841)","(40,686)","(38,535)","(41,045)","(40,217)","(42,073)","(41,829)","(42,480)","(42,707)","(41,893)","(41,734)","(45,825)","(48,088)","(48,938)","(46,362)","(48,824)","(47,803)","(50,802)","(49,371)","(50,120)","(49,641)","(49,385)","(46,392)","(50,271)","(51,655)","(52,744)","(49,925)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,Sales & Marketing,"(148,439)","(144,264)","(149,963)","(146,404)","(147,458)","(145,622)","(143,166)","(141,741)","(150,733)","(153,606)","(155,649)","(146,180)","(154,479)","(150,139)","(155,801)","(153,560)","(154,770)","(154,154)","(150,007)","(148,028)","(161,150)","(167,625)","(169,020)","(158,752)","(166,716)","(161,722)","(170,337)","(163,944)","(164,898)","(161,847)","(159,505)","(148,476)","(159,311)","(162,051)","(163,890)","(153,525)"
,General & Administrative,"(104,780)","(101,833)","(105,856)","(103,344)","(104,088)","(102,792)","(101,058)","(100,053)","(106,400)","(108,428)","(109,870)","(103,186)","(109,044)","(105,981)","(109,977)","(108,395)","(109,250)","(108,814)","(105,887)","(104,490)","(113,753)","(118,324)","(119,308)","(112,060)","(117,682)","(114,157)","(120,238)","(115,725)","(116,399)","(114,245)","(112,592)","(104,806)","(112,455)","(114,389)","(115,687)","(108,370)"
,Technology & Platform,"(96,049)","(93,347)","(97,035)","(94,732)","(95,414)","(94,226)","(92,637)","(91,715)","(97,533)","(99,392)","(100,714)","(94,587)","(99,957)","(97,149)","(100,812)","(99,362)","(100,145)","(99,747)","(97,063)","(95,783)","(104,274)",#REF!,"(109,366)","(102,722)","(107,875)","(104,644)","(110,218)","(106,081)","(106,699)","(104,725)","(103,209)","(96,073)","(103,083)","(104,856)","(106,046)",#REF!
,Recruitment & Training,NA,"(84,861)","(88,213)","(86,120)","(86,740)","(85,660)","(84,215)","(83,377)","(88,666)","(90,357)","(91,558)","(85,988)","(90,870)","(88,317)","(91,647)","(90,329)","(91,041)","(90,679)","(88,239)","(87,075)","(94,794)","(98,603)","(99,424)","(93,383)","(98,069)","(95,131)","(100,198)","(96,437)","(96,999)",NA,"(93,827)",null,"(93,712)","(95,324)","(96,406)","(90,309)"
,Depreciation & Amortisation,"(28,473)","(27,880)","(29,201)","(28,725)","(29,154)","(29,014)","(28,747)","(28,685)","(30,746)","(31,583)","(32,260)","(30,544)","(32,542)","(31,889)","(33,367)","(33,163)","(33,707)","(33,859)","(33,232)","(33,078)","(36,326)","(38,120)","(38,780)","(36,751)","(38,946)","(38,125)","(40,527)","(39,370)","(39,972)","(39,606)","(39,407)","(37,038)","(40,130)","(41,223)","(42,107)","(39,842)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,Interest Expense,"(14,236)","(13,940)","(14,600)","(14,362)","(14,577)","(14,507)","(14,374)","(14,342)",#N/A,"(15,791)","(16,130)","(15,272)","(16,271)","(15,944)",#N/A,"(16,581)","(16,854)","(16,930)","(16,616)","(16,539)","(18,163)","(19,060)","(19,390)","(18,376)","(19,473)","(19,062)","(20,264)","(19,685)","(19,986)","(19,803)","(19,704)","(18,519)","(20,065)","(20,612)","(21,054)","(19,921)"
