month,metric,target
2023-01,revenue,950K
2023-01,EBITDA ,156K
2023-01,net profit,81K
2023-02,revenue,926K
2023-02,EBITDA ,173K
2023-02,net profit,97K
2023-03,revenue,954K
2023-03,EBITDA ,164K
2023-03,net profit,106K
2023-04,revenue,941K
2023-04,EBITDA ,148K
2023-04,net profit,110K
2023-05,revenue,962K
2023-05,EBITDA ,160K
2023-05,net profit,107K
2023-06,revenue,979K
2023-06,EBITDA ,174K
2023-06,net profit,120K
2023-07,revenue,941K
2023-07,EBITDA ,182K
2023-07,net profit,118K
2023-08,revenue,948K
2023-08,EBITDA ,189K
2023-08,net profit,122K
2023-09,revenue,1.0M
2023-09,EBITDA ,218K
2023-09,net profit,131K
2023-10,revenue,1.1M
2023-10,EBITDA ,202K
2023-10,net profit,130K
2023-11,revenue,1.1M
2023-11,EBITDA ,201K
2023-11,net profit,144K
2023-12,revenue,1.1M
2023-12,EBITDA ,185K
2023-12,net profit,115K
2024-01,revenue,1.1M
2024-01,EBITDA ,211K
2024-01,net profit,116K
2024-02,revenue,1.1M
2024-02,EBITDA ,199K
2024-02,net profit,160K
2024-03,revenue,1.1M
2024-03,EBITDA ,257K
2024-03,net profit,134K
2024-04,revenue,1.1M
2024-04,EBITDA ,261K
2024-04,net profit,145K
2024-05,revenue,1.2M
2024-05,EBITDA ,270K
2024-05,net profit,142K
2024-06,revenue,1.1M
2024-06,EBITDA ,253K
2024-06,net profit,164K
2024-07,revenue,1.1M
2024-07,EBITDA ,228K
2024-07,net profit,131K
2024-08,revenue,1.1M
2024-08,EBITDA ,272K
2024-08,net profit,177K
2024-09,revenue,1.2M
2024-09,EBITDA ,254K
2024-09,net profit,172K
2024-10,revenue,1.3M
2024-10,EBITDA ,339K
2024-10,net profit,201K
2024-11,revenue,1.3M
2024-11,EBITDA ,312K
2024-11,net profit,168K
2024-12,revenue,1.3M
2024-12,EBITDA ,319K
2024-12,net profit,166K
2025-01,revenue,1.3M
2025-01,EBITDA ,306K
2025-01,net profit,218K
2025-02,revenue,1.2M
2025-02,EBITDA ,358K
2025-02,net profit,219K
2025-03,revenue,1.4M
2025-03,EBITDA ,325K
2025-03,net profit,257K
2025-04,revenue,1.3M
2025-04,EBITDA ,353K
2025-04,net profit,248K
2025-05,revenue,1.4M
2025-05,EBITDA ,338K
2025-05,net profit,217K
2025-06,revenue,1.3M
2025-06,EBITDA ,365K
2025-06,net profit,238K
2025-07,revenue,1.3M
2025-07,EBITDA ,316K
2025-07,net profit,194K
2025-08,revenue,1.3M
2025-08,EBITDA ,316K
2025-08,net profit,256K
2025-09,revenue,1.4M
2025-09,EBITDA ,395K
2025-09,net profit,244K
2025-10,revenue,1.4M
2025-10,EBITDA ,375K
2025-10,net profit,269K
2025-11,revenue,1.5M
2025-11,EBITDA ,370K
2025-11,net profit,242K
2025-12,revenue,1.4M
2025-12,EBITDA ,430K
2025-12,net profit,284K
